"Index-id"        "Tile-name"        "Location"
196        106F05        z:\arcdata\50k\lims\106f\106f05
197        106F06        z:\arcdata\50k\lims\106f\106f06
199        106F08        z:\arcdata\50k\lims\106f\106f08
198        106F07        z:\arcdata\50k\lims\106f\106f07
195        116F02        z:\arcdata\50k\lims\116f\116f02
201        116F01        z:\arcdata\50k\lims\116f\116f01
202        116G04        z:\arcdata\50k\lims\116g\116g04
203        116G03        z:\arcdata\50k\lims\116g\116g03
204        116G02        z:\arcdata\50k\lims\116g\116g02
210        106E04        z:\arcdata\50k\lims\106e\106e04
211        106E03        z:\arcdata\50k\lims\106e\106e03
212        106E02        z:\arcdata\50k\lims\106e\106e02
213        106E01        z:\arcdata\50k\lims\106e\106e01
215        106F04        z:\arcdata\50k\lims\106f\106f04
216        106F03        z:\arcdata\50k\lims\106f\106f03
218        106F01        z:\arcdata\50k\lims\106f\106f01
217        106F02        z:\arcdata\50k\lims\106f\106f02
237        106C16        z:\arcdata\50k\lims\106c\106c16
236        106C15        z:\arcdata\50k\lims\106c\106c15
258        106B12        z:\arcdata\50k\lims\106b\106b12
297        106B02        z:\arcdata\50k\lims\106b\106b02
318        105O16        z:\arcdata\50k\lims\105o\105o16
320        105O15        z:\arcdata\50k\lims\105o\105o15
322        105O14        z:\arcdata\50k\lims\105o\105o14
324        105O13        z:\arcdata\50k\lims\105o\105o13
339        105P12        z:\arcdata\50k\lims\105p\105p12
341        105O09        z:\arcdata\50k\lims\105o\105o09
343        105O10        z:\arcdata\50k\lims\105o\105o10
345        105O11        z:\arcdata\50k\lims\105o\105o11
348        105O12        z:\arcdata\50k\lims\105o\105o12
364        105O08        z:\arcdata\50k\lims\105o\105o08
366        105O07        z:\arcdata\50k\lims\105o\105o07
410        105I13        z:\arcdata\50k\lims\105i\105i13
433        105I11        z:\arcdata\50k\lims\105i\105i11
435        105I12        z:\arcdata\50k\lims\105i\105i12
461        105I05        z:\arcdata\50k\lims\105i\105i05
507        095E13        z:\arcdata\50k\lims\095e\095e13
